2015-07-02 17:00:49 [INFO ] root:33 	Running TARANTULA
2015-07-02 17:00:49 [DEBUG] root:61 	start cmd..
2015-07-02 17:00:49 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -ea -cp D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/test-classes;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\junit-4.7.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\mockito-core-1.9.5.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\objenesis-1.0.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar sav.strategies.junit.JunitRunner -methods issues.Issue106.bug106ParseLineWithCarriageReturnNewLineStrictQuotes com.opencsv.CSVIteratorTest.initialReadReturnsStrings com.opencsv.CSVIteratorTest.readerExceptionCausesRunTimeException com.opencsv.CSVIteratorTest.removethrowsUnsupportedOperationException com.opencsv.CSVIteratorTest.hasNextWorks com.opencsv.CSVReaderTest.testParseLineStrictQuote com.opencsv.CSVReaderTest.testOptionalConstructors com.opencsv.CSVReaderTest.testSkippingLines com.opencsv.CSVReaderTest.testNormalParsedLine com.opencsv.CSVReaderTest.testASingleQuoteAsDataElement com.opencsv.CSVReaderTest.testSpacesAtEndOfString com.opencsv.CSVReaderTest.testEscapedQuote com.opencsv.CSVReaderTest.testEscapedEscape com.opencsv.CSVReaderTest.testQuotedParsedLine com.opencsv.CSVReaderTest.quoteAndEscapeMustBeDifferent com.opencsv.CSVReaderTest.testIteratorFunctionality com.opencsv.CSVReaderTest.canCloseReader com.opencsv.CSVReaderTest.canCreateIteratorFromReader com.opencsv.CSVReaderTest.parseQuotedStringWithDefinedSeperator com.opencsv.CSVReaderTest.testSkippingLinesWithDifferentEscape com.opencsv.CSVReaderTest.testASingleQuoteAsDataElementWithEmptyField com.opencsv.CSVReaderTest.testSingleQuoteWhenDoubleQuoteIsQuoteChar com.opencsv.CSVReaderTest.testIssue2992134OutOfPlaceQuotes com.opencsv.CSVReaderTest.separatorAndEscapeMustBeDifferent com.opencsv.CSVReaderTest.separatorAndQuoteMustBeDifferent com.opencsv.CSVReaderTest.attemptToReadCloseStreamReturnsNull com.opencsv.CSVReaderTest.creatingIteratorForReaderWithNullDataThrowsRuntimeException com.opencsv.CSVReaderTest.testParseLine com.opencsv.CSVReaderTest.testParseAll com.opencsv.OpencsvTest.testWriteRead com.opencsv.UniCodeTest.canParseUnicode com.opencsv.UniCodeTest.runUniCodeThroughCSVReader com.opencsv.UniCodeTest.runUniCodeThroughCSVWriter com.opencsv.UniCodeTest.runASCIIThroughCSVWriter com.opencsv.UniCodeTest.writeThenReadAscii com.opencsv.UniCodeTest.writeThenReadTwiceAscii com.opencsv.UniCodeTest.writeThenReadTwiceUnicode com.opencsv.UniCodeTest.writeThenReadTwiceMixedUnicode com.opencsv.UniCodeTest.readerTest com.opencsv.UniCodeTest.writerTest -testingpkgs issues com.opencsv -destfile C:\Users\DELL50~1\AppData\Local\Temp\junitResult3726636202891907145.temp
2015-07-02 17:00:49 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-07-02 17:00:49 [DEBUG] root:61 	-ea
2015-07-02 17:00:49 [DEBUG] root:61 	-cp
2015-07-02 17:00:49 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/test-classes;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\junit-4.7.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\mockito-core-1.9.5.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\objenesis-1.0.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar
2015-07-02 17:00:49 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-07-02 17:00:49 [DEBUG] root:61 	-methods
2015-07-02 17:00:49 [DEBUG] root:61 	issues.Issue106.bug106ParseLineWithCarriageReturnNewLineStrictQuotes
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVIteratorTest.initialReadReturnsStrings
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVIteratorTest.readerExceptionCausesRunTimeException
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVIteratorTest.removethrowsUnsupportedOperationException
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVIteratorTest.hasNextWorks
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testParseLineStrictQuote
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testOptionalConstructors
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testSkippingLines
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testNormalParsedLine
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testASingleQuoteAsDataElement
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testSpacesAtEndOfString
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testEscapedQuote
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testEscapedEscape
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testQuotedParsedLine
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.quoteAndEscapeMustBeDifferent
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testIteratorFunctionality
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.canCloseReader
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.canCreateIteratorFromReader
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.parseQuotedStringWithDefinedSeperator
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testSkippingLinesWithDifferentEscape
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testASingleQuoteAsDataElementWithEmptyField
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testSingleQuoteWhenDoubleQuoteIsQuoteChar
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testIssue2992134OutOfPlaceQuotes
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.separatorAndEscapeMustBeDifferent
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.separatorAndQuoteMustBeDifferent
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.attemptToReadCloseStreamReturnsNull
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.creatingIteratorForReaderWithNullDataThrowsRuntimeException
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testParseLine
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.CSVReaderTest.testParseAll
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.OpencsvTest.testWriteRead
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.canParseUnicode
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.runUniCodeThroughCSVReader
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.runUniCodeThroughCSVWriter
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.runASCIIThroughCSVWriter
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.writeThenReadAscii
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.writeThenReadTwiceAscii
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.writeThenReadTwiceUnicode
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.writeThenReadTwiceMixedUnicode
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.readerTest
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv.UniCodeTest.writerTest
2015-07-02 17:00:49 [DEBUG] root:61 	-testingpkgs
2015-07-02 17:00:49 [DEBUG] root:61 	issues
2015-07-02 17:00:49 [DEBUG] root:61 	com.opencsv
2015-07-02 17:00:49 [DEBUG] root:61 	-destfile
2015-07-02 17:00:49 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\junitResult3726636202891907145.temp
2015-07-02 17:00:51 [DEBUG] root:61 	failureTraces= issues.Issue106:29
2015-07-02 17:00:51 [INFO ] root:33 	Slicing-creating trace file...
2015-07-02 17:00:51 [DEBUG] root:61 	start cmd..
2015-07-02 17:00:51 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4115511712680265439.trace -cp D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/test-classes;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\junit-4.7.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\mockito-core-1.9.5.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\objenesis-1.0.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar sav.strategies.junit.JunitRunner -methods issues.Issue106.bug106ParseLineWithCarriageReturnNewLineStrictQuotes
2015-07-02 17:00:51 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-07-02 17:00:51 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4115511712680265439.trace
2015-07-02 17:00:51 [DEBUG] root:61 	-cp
2015-07-02 17:00:51 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\opencsv\release3.1/target/test-classes;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\junit-4.7.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\mockito-core-1.9.5.jar;D:\_1_Projects\Tzuyu\workspace\TEST_CASES\testdata\opencsv\release3.1\lib\objenesis-1.0.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar
2015-07-02 17:00:51 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-07-02 17:00:51 [DEBUG] root:61 	-methods
2015-07-02 17:00:51 [DEBUG] root:61 	issues.Issue106.bug106ParseLineWithCarriageReturnNewLineStrictQuotes
2015-07-02 17:01:17 [INFO ] root:33 	Slicing-slicing...
2015-07-02 17:01:17 [DEBUG] root:61 	traceFilePath= C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4115511712680265439.trace
2015-07-02 17:01:17 [INFO ] root:33 	entry points= issues.Issue106:29
2015-07-02 17:01:24 [DEBUG] root:61 	Read Slicing Result:
2015-07-02 17:01:24 [DEBUG] root:61 	slicing-result:
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:218
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:217
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:220
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:214
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:215
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:228
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:222
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:223
2015-07-02 17:01:24 [DEBUG] root:61 	com.opencsv.CSVParser:202
